SourceName,mag3_6,dmag3_6,mag4_5,dmag4_5,mag5_8,dmag5_8,mag8_0,dmag8_0,mag24,dmag24
N13_J004510.87-732310.4,15.0229997635,0.0659999996,14.9799995422,0.0260000005,12.5780000687,0.0350000001,10.9890003204,0.0219999999,7.837,0.02229
N13_J004513.61-732254.2,16.5499992371,0.1040000021,16.2759990692,0.0710000023,13.8100004196,0.0790000036,12.3310003281,0.1369999945,99.999,99.999
N13_J004517.63-732253.5,14.2150001526,0.1809999943,13.6859998703,0.0700000003,12.0439996719,0.0949999988,99.9990005493,99.9990005493,99.999,99.999
N13_J004525.75-732252.9,99.9990005493,99.9990005493,13.3719997406,0.1230000034,11.3039999008,0.0590000004,9.7930002213,0.1319999993,99.999,99.999
N13_J004526.02-732402.3,15.9139995575,0.1840000004,15.5530004501,0.0689999983,13.8009996414,0.0759999976,12.373000145,0.1829999983,7.555,0.01724
N13_J004534.61-731834.5,14.4370002747,0.0320000015,13.5570001602,0.0280000009,12.2410001755,0.0309999995,10.4469995499,0.0309999995,4.666,0.007326
N13_J004546.78-732145.1,99.9990005493,99.9990005493,15.0480003357,0.126000002,12.9890003204,0.1430000067,99.9990005493,99.9990005493,99.999,99.999
N13_J004551.24-732152.0,15.7030000687,0.0890000015,14.986000061,0.0460000001,13.2770004272,0.1700000018,11.986000061,0.1360000074,99.999,99.999
N13_J004605.14-732410.6,16.8069992065,0.1360000074,17.0860004425,0.1710000038,15.0579996109,0.1490000039,14.1450004578,0.1879999936,99.999,99.999
N13_J004610.27-732147.3,14.8649997711,0.0469999984,13.9270000458,0.0250000004,12.359000206,0.0540000014,11.1719999313,0.1800000072,7.502,0.02304
N13_J004624.48-732206.9,12.484000206,0.0529999994,10.7729997635,0.0209999997,9.7559995651,0.023,8.7440004349,0.0260000005,3.927,0.005181
N13_J004628.36-732316.9,14.7430000305,0.0599999987,14.6420001984,0.0549999997,12.1009998322,0.0299999993,10.5970001221,0.0460000001,7.203,0.01825
N13_J004630.66-732320.4,16.8549995422,0.1630000025,16.6590003967,0.1870000064,14.1020002365,0.1860000044,99.9990005493,99.9990005493,8.648,0.0233
N13_J004631.29-732323.7,17.0279998779,0.112999998,17.3519992828,0.1979999989,14.2810001373,0.1689999998,13.0069999695,0.1879999936,99.999,99.999
N13_J004633.51-732206.2,15.2749996185,0.1920000017,15.2790002823,0.075000003,12.8579998016,0.0419999994,11.3859996796,0.0370000005,7.642,0.02187
N13_J004636.54-732216.5,16.1660003662,0.1780000031,16.6019992828,0.0979999974,14.3990001678,0.175999999,99.9990005493,99.9990005493,8.841,0.03112
N13_J004637.66-732232.5,17.7460002899,0.1120000035,18.1690006256,0.2080000043,15.0989999771,0.1959999949,13.2720003128,0.1689999998,99.999,99.999
N13_J004507.06-731958.0,16.6329994202,0.0560000017,16.2150001526,0.061999999,15.4829998016,0.1459999979,14.5889997482,0.1410000026,10.13,0.09369
N13_J004507.44-732149.4,17.436000824,0.0759999976,17.486000061,0.1340000033,16.4519996643,0.1099999994,99.9990005493,99.9990005493,99.999,99.999
N13_J004509.53-732033.5,15.4770002365,0.0659999996,14.8000001907,0.0260000005,14.1739997864,0.0729999989,13.3999996185,0.0900000036,9.526,0.05797
N13_J004520.22-731835.4,15.9890003204,0.0869999975,15.5430002213,0.074000001,14.859000206,0.0979999974,13.5539999008,0.202000007,9.654,0.04842
N13_J004526.11-731745.9,17.1550006866,0.1089999974,16.5599994659,0.0839999989,15.3050003052,0.1459999979,14.0559997559,0.1949999928,11.08,0.2131
N13_J004530.04-731839.3,15.779999733,0.0810000002,15.8850002289,0.0909999982,14.8500003815,0.1930000037,99.9990005493,99.9990005493,9.436,0.05868
N13_J004531.93-731832.9,16.5990009308,0.1280000061,16.5480003357,0.0970000029,15.6669998169,0.200000003,99.9990005493,99.9990005493,99.999,99.999
N13_J004532.98-731851.4,16.0480003357,0.0659999996,15.4849996567,0.0829999968,14.6899995804,0.1299999952,13.4890003204,0.1780000031,9.115,0.04821
N13_J004534.61-731839.4,14.1759996414,0.0240000002,13.373000145,0.023,12.375,0.0299999993,11.2329998016,0.0370000005,99.999,99.999
N13_J004538.20-732211.0,15.6599998474,0.0769999996,14.7950000763,0.1120000035,14.1020002365,0.1410000026,13.4270000458,0.2160000056,9.357,0.0575
N13_J004538.33-732316.5,16.3530006409,0.2080000043,16.3320007324,0.1840000004,15.1529998779,0.1400000006,99.9990005493,99.9990005493,99.999,99.999
N13_J004540.80-732144.7,17.4249992371,0.1330000013,17.1030006409,0.1369999945,15.6450004578,0.1879999936,99.9990005493,99.9990005493,99.999,99.999
N13_J004542.47-732317.4,15.6960000992,0.1309999973,14.2279996872,0.0340000018,13.4709997177,0.1410000026,12.763999939,0.126000002,8.185,0.02368
N13_J004543.12-732328.1,15.8199996948,0.064000003,15.876999855,0.0659999996,15.0190000534,0.2070000023,99.9990005493,99.9990005493,99.999,99.999
N13_J004544.07-732307.2,16.9740009308,0.2049999982,15.3599996567,0.0700000003,14.3940000534,0.0810000002,13.3809995651,0.1280000061,9.637,0.05591
N13_J004549.20-732150.1,15.4530000687,0.1840000004,14.6029996872,0.0320000015,13.3699998856,0.0920000002,12.0480003357,0.2049999982,99.999,99.999
N13_J004553.69-732322.9,16.2390003204,0.2060000002,15.4289999008,0.1280000061,14.2620000839,0.1570000052,13.2150001526,0.1790000051,9.388,0.06086
N13_J004554.13-732309.2,16.6040000916,0.0780000016,16.3780002594,0.0799999982,15.6960000992,0.172999993,99.9990005493,99.9990005493,99.999,99.999
N13_J004559.76-732430.8,16.7549991608,0.1040000021,16.6760005951,0.1909999996,15.5900001526,0.2129999995,99.9990005493,99.9990005493,99.999,99.999
N13_J004603.81-731712.3,16.4599990845,0.0729999989,16.1140003204,0.0960000008,15.4790000916,0.1369999945,14.0489997864,0.1230000034,9.405,0.04838
N13_J004605.23-731903.1,16.2369995117,0.1979999989,15.984000206,0.1299999952,14.2810001373,0.0850000009,13.0480003357,0.1700000018,10.68,0.153
N13_J004606.70-732349.5,17.5069999695,0.1459999979,17.1809997559,0.1379999965,15.9779996872,0.1770000011,99.9990005493,99.9990005493,99.999,99.999
N13_J004606.93-732138.1,16.986000061,0.0759999976,17.0300006866,0.1140000001,16.2399997711,0.1720000058,14.4239997864,0.1899999976,99.999,99.999
N13_J004611.84-732401.2,16.6690006256,0.0939999968,16.8470001221,0.0680000037,14.9720001221,0.1319999993,13.6370000839,0.1369999945,99.999,99.999
N13_J004612.13-731811.4,17.1830005646,0.2150000036,16.4489994049,0.201000005,15.7469997406,0.2129999995,14.781999588,0.1979999989,99.999,99.999
N13_J004617.07-732142.6,15.0710000992,0.0719999969,14.4289999008,0.0289999992,13.5579996109,0.0450000018,12.4739999771,0.0850000009,9.068,0.04377
N13_J004617.79-732242.0,17.2670001984,0.1720000058,17.1030006409,0.1070000008,15.2930002213,0.1430000067,14.0279998779,0.2119999975,99.999,99.999
N13_J004621.27-732241.1,14.8760004044,0.0359999985,14.4399995804,0.0399999991,13.8170003891,0.1309999973,99.9990005493,99.9990005493,9.356,0.05536
N13_J004622.41-732351.9,16.7110004425,0.1659999937,16.2369995117,0.0820000023,15.9040002823,0.1790000051,13.9099998474,0.1010000035,99.999,99.999
N13_J004622.99-732245.0,15.8120002747,0.064000003,14.6899995804,0.0260000005,13.388999939,0.0869999975,12.0920000076,0.0949999988,7.326,0.02652
N13_J004627.73-732045.0,17.0559997559,0.0689999983,17.3840007782,0.0939999968,15.6260004044,0.2070000023,14.013999939,0.200000003,99.999,99.999
N13_J004631.91-732219.9,16.2840003967,0.057,15.7620000839,0.1049999967,14.8260002136,0.0890000015,13.6280002594,0.0979999974,99.999,99.999
N13_J004635.39-732155.1,15.6739997864,0.0729999989,14.9510002136,0.0340000018,14.0810003281,0.0579999983,13.1000003815,0.0839999989,9.807,0.07765
N13_J004640.30-732006.6,15.779999733,0.0659999996,15.8210000992,0.0890000015,14.954000473,0.1459999979,99.9990005493,99.9990005493,99.999,99.999
