starname,mag3_6,mag4_5,mag5_8,mag8_0,mag24
2dFS0005,16.784,16.529,99.999,99.999,99.999
2dFS0010,17.358,99.999,99.999,99.999,99.999
2dFS0026,16.795,99.999,99.999,99.999,99.999
2dFS0027,16.06,15.889,99.999,99.999,99.999
2dFS0031,16.421,16.298,99.999,99.999,99.999
2dFS0032,17.185,99.999,99.999,99.999,99.999
2dFS0044,15.405,15.032,99.999,99.999,99.999
2dFS0046,17.154,17.133,99.999,99.999,99.999
2dFS0049,15.972,15.59,99.999,99.999,99.999
2dFS0050,16.391,16.254,99.999,99.999,99.999
2dFS0052,17.043,16.688,99.999,99.999,99.999
2dFS0053,17.625,99.999,99.999,99.999,99.999
2dFS0058,15.474,15.117,99.999,99.999,99.999
2dFS0060,15.208,99.999,99.999,99.999,99.999
2dFS0061,16.717,99.999,99.999,99.999,99.999
2dFS0063,17.37,99.999,99.999,99.999,99.999
2dFS0064,16.268,15.823,99.999,99.999,99.999
2dFS0074,16.887,99.999,99.999,99.999,99.999
2dFS0075,15.897,15.901,99.999,99.999,99.999
2dFS0077,15.865,15.664,99.999,99.999,99.999
2dFS0080,16.657,16.24,99.999,99.999,99.999
2dFS0083,16.643,16.529,99.999,99.999,99.999
2dFS0092,17.498,99.999,99.999,99.999,99.999
2dFS0103,16.983,99.999,99.999,99.999,99.999
2dFS0108,16.558,16.557,99.999,99.999,99.999
2dFS0111,15.226,15.01,99.999,99.999,99.999
2dFS0112,17.271,99.999,99.999,99.999,99.999
2dFS0115,15.44,15.114,99.999,99.999,99.999
2dFS0119,16.627,16.117,99.999,99.999,99.999
2dFS0120,15.183,14.749,99.999,99.999,99.999
2dFS0122,15.307,15.279,99.999,99.999,99.999
2dFS0123,16.106,15.961,99.999,99.999,99.999
2dFS0126,16.66,99.999,99.999,99.999,99.999
2dFS0127,15.819,15.351,99.999,99.999,99.999
2dFS0128,16.422,16.461,99.999,99.999,99.999
2dFS0130,16.533,16.558,99.999,99.999,99.999
2dFS0133,16.957,16.763,99.999,99.999,99.999
2dFS0138,15.625,15.394,99.999,99.999,99.999
2dFS0144,16.344,16.075,99.999,99.999,99.999
2dFS0147,16.003,15.896,99.999,99.999,99.999
2dFS0152,16.39,16.033,99.999,99.999,99.999
2dFS0176,15.827,15.732,99.999,99.999,99.999
2dFS0181,15.947,15.288,99.999,99.999,99.999
2dFS0185,16.981,99.999,99.999,99.999,99.999
2dFS0186,15.605,15.3,99.999,99.999,99.999
2dFS0190,15.59,15.635,99.999,99.999,99.999
2dFS0203,15.814,15.623,99.999,99.999,99.999
2dFS0206,17.245,16.943,99.999,99.999,99.999
2dFS0208,17.305,99.999,99.999,99.999,99.999
2dFS0212,16.646,16.663,99.999,99.999,99.999
2dFS0214,16.05,15.885,99.999,99.999,99.999
2dFS0219,16.468,16.209,99.999,99.999,99.999
2dFS0220,14.742,14.495,14.174,99.999,99.999
2dFS0221,17.071,16.669,99.999,99.999,99.999
2dFS0225,16.229,16.322,99.999,99.999,99.999
2dFS0226,16.572,16.678,99.999,99.999,99.999
2dFS0231,14.706,14.422,14.213,99.999,99.999
2dFS0233,14.678,14.578,99.999,99.999,99.999
2dFS0235,16.147,16.061,99.999,99.999,99.999
2dFS0239,16.387,15.892,99.999,99.999,99.999
2dFS0243,16.905,16.92,99.999,99.999,99.999
OGLE-PSFid1099121,16.994,99.999,99.999,99.999,99.999
2dFS0249,14.986,14.828,99.999,99.999,99.999
2dFS0251,16.202,16.41,99.999,99.999,99.999
2dFS0258,17.416,99.999,99.999,99.999,99.999
2dFS0262,17.531,99.999,99.999,99.999,99.999
2dFS0263,16.42,16.159,99.999,99.999,99.999
2dFS0279,17.175,16.718,99.999,99.999,99.999
2dFS0284,16.928,16.702,99.999,99.999,99.999
2dFS0285,15.886,15.884,99.999,99.999,99.999
2dFS0287,16.396,16.333,99.999,99.999,99.999
2dFS0289,16.188,16.192,99.999,99.999,99.999
2dFS0298,99.999,15.178,99.999,99.999,99.999
2dFS0309,15.66,15.553,99.999,99.999,99.999
2dFS0310,17.416,16.73,99.999,99.999,99.999
2dFS0313,14.658,14.448,14.213,99.999,99.999
2dFS0318,17.449,16.904,99.999,99.999,99.999
2dFS0323,99.999,17.033,99.999,99.999,99.999
2dFS0330,15.573,15.481,99.999,99.999,99.999
2dFS0333,14.732,14.631,99.999,99.999,99.999
2dFS0348,14.998,14.716,99.999,99.999,99.999
2dFS0359,15.676,15.363,99.999,99.999,99.999
2dFS0362,16.846,99.999,99.999,99.999,99.999
2dFS0366,17.115,99.999,99.999,99.999,99.999
2dFS0371,15.649,15.307,99.999,99.999,99.999
2dFS0379,99.999,17.028,99.999,99.999,99.999
2dFS0384,16.452,16.385,99.999,99.999,99.999
2dFS0385,15.848,15.949,99.999,99.999,99.999
2dFS0391,17.568,99.999,99.999,99.999,99.999
2dFS0402,13.468,12.635,11.179,9.845,3.54
2dFS0405,17.03,16.729,99.999,99.999,99.999
2dFS0413,16.629,99.999,99.999,99.999,99.999
2dFS0414,15.553,15.35,99.999,99.999,99.999
2dFS0415,17.235,99.999,99.999,99.999,99.999
2dFS0418,99.999,15.076,14.53,99.999,99.999
2dFS0430,15.896,15.944,99.999,99.999,99.999
2dFS0431,17.12,99.999,99.999,99.999,99.999
2dFS0432,16.666,99.999,99.999,99.999,99.999
2dFS0440,15.321,14.979,99.999,99.999,99.999
2dFS0441,15.477,15.475,99.999,99.999,99.999
2dFS0443,16.711,99.999,99.999,99.999,99.999
2dFS0445,14.575,14.243,99.999,99.999,99.999
2dFS0446,16.262,16.416,99.999,99.999,99.999
2dFS0449,16.271,16.188,99.999,99.999,99.999
2dFS0455,16.476,16.579,99.999,99.999,99.999
2dFS0457,14.936,14.698,14.249,99.999,99.999
2dFS0473,16.389,99.999,99.999,99.999,99.999
2dFS0476,16.626,16.283,99.999,99.999,99.999
2dFS0480,14.385,14.368,14.56,99.999,99.999
AzV2b;2dFS0482,13.945,13.956,13.813,99.999,99.999
2dFS0484,15.679,15.479,99.999,99.999,99.999
2dFS0486,15.79,15.394,99.999,99.999,99.999
2dFS0493,99.999,17.138,99.999,99.999,99.999
2dFS0498,14.716,14.703,99.999,99.999,8.765
2dFS0503,16.913,17.084,99.999,99.999,99.999
2dFS0509,16.346,16.274,99.999,99.999,99.999
AzV3;2dFS0512,99.999,14.112,14.005,99.999,99.999
2dFS0513,15.815,15.454,99.999,99.999,99.999
2dFS0515,15.604,15.576,99.999,99.999,99.999
2dFS0518,17.207,16.987,99.999,99.999,99.999
2dFS0520,99.999,14.836,14.287,99.999,99.999
2dFS0534,15.853,15.439,99.999,99.999,99.999
AzV4,12.81,12.578,12.273,11.946,99.999
2dFS0544,14.147,13.871,13.513,13.447,99.999
AzV5;2dFS0545,13.912,13.918,13.972,99.999,99.999
2dFS0546,16.174,16.124,99.999,99.999,99.999
2dFS0548,16.382,16.466,99.999,99.999,99.999
2dFS0549,16.403,16.365,99.999,99.999,99.999
2dFS0552,16.267,16.185,99.999,99.999,99.999
